확진자수,기준일
6,20200502
9,20200501
4,20200430
9,20200429
14,20200428
10,20200427
10,20200426
10,20200425
6,20200424
8,20200423
11,20200422
9,20200421
13,20200420
8,20200419
18,20200418
22,20200417
22,20200416
27,20200415
27,20200414
25,20200413
32,20200412
30,20200411
27,20200410
39,20200409
53,20200408
47,20200407
47,20200406
81,20200405
94,20200404
86,20200403
89,20200402
101,20200401
125,20200331
78,20200330
105,20200329
146,20200328
91,20200327
104,20200326
100,20200325
76,20200324
64,20200323
98,20200322
147,20200321
87,20200320
152,20200319
93,20200318
84,20200317
74,20200316
76,20200315
107,20200314
110,20200313
114,20200312
242,20200311
131,20200310
248,20200309
367,20200308
483,20200307
518,20200306
438,20200305
516,20200304
600,20200303
686,20200302
595,20200301
909,20200229
427,20200228
449,20200227
253,20200226
130,20200225
207,20200224
210,20200223
190,20200222
74,20200221
16,20200220
34,20200219
2,20200218
0,20200217
2,20200216
0,20200215
0,20200214
0,20200213
0,20200212
0,20200211
1,20200210
3,20200209
0,20200208
0,20200207
3,20200206
5,20200205
1,20200204
0,20200203
3,20200202
1,20200201
4,20200131
3,20200130
0,20200129
0,20200128
1,20200127
1,20200126
0,20200125
1,20200124
0,20200123
0,20200122
0,20200121
1,20200120
